MODEL_NAME,DT_MEASURE,dt_workday,rod_dia1_diam,rod_dia1_cirlty,rod_dia1_perp,rod_dia1_cylcty,rod_dia2_y,rod_dia2_x,rod_dia2_diam,rod_dia2_dist,rod_bhpl_y,rod_bhpl_z,rod_bhpl_diam,rod_bhpr_z,rod_bhpr_diam,rod_bhpr_y,rod_bhpr_dist,rod_lr_symm,rod_cap_hl,rod_cap_hr,rod_phpl_y1,rod_phpl_z1,rod_phpl_y2,rod_phpl_z2,rod_phpl_diam,rod_phpr_y1,rod_phpr_z1,rod_phpr_y2,rod_phpr_z2,rod_phpr_diam,cap_dia2_y,cap_dia2_z,cap_dia2_x,cap_dia2_diam,cap_bhpr_y,cap_bhpr_z,cap_bhpr_diam,cap_bhpr_perp,cap_bhpl_z,cap_bhpl_y,cap_bhpl_diam,cap_bhpl_perp,cap_lr_symm,cap_phpr_y1,cap_phpr_z1,cap_phpr_y2,cap_phpr_z2,cap_phpr_diam,cap_phpl_y1,cap_phpl_z1,cap_phpl_y2,cap_phpl_z2,cap_phpl_diam,cap_rod_hl,cap_rod_hr,test_result
262,2021-10-25 20:11,2021-10-25,48.617,0.0051,0.0037,0.0054,59.6591,200.9464,74.1687,232.0329,12.6375,-20.2738,12.5302,-20.3815,12.5084,93.9816,0,0.0308,199.1417,199.1843,12.6187,-33.4365,0.0187,13.1627,5.9989,94.0016,26.0441,0.0013,12.989,6.001,-59.5858,34.018,0,74.1467,-12.6019,-20.3875,14.5309,0,-20.3585,93.9926,14.5327,0,0.0124,-12.6007,-33.3748,0.0012,12.9874,6.0006,94.0084,25.9978,0.0146,12.9815,5.9986,35.9546,35.9364,NG
262,2021-10-25 20:17,2021-10-25,48.6166,0.0027,0.0051,0.0027,59.5957,200.8761,74.1605,231.9517,12.6125,-20.2951,12.5398,-20.3923,12.5127,93.9578,0,0.0043,199.0859,199.0985,12.606,-33.3607,0.0065,13.0655,6.0002,94.0301,25.9505,0.0659,12.9821,6.0002,-59.6257,34.0109,0,74.1549,-12.6231,-20.3711,14.5317,0,-20.3378,94.001,14.5316,0,0.0022,-12.6149,-33.3647,0.0082,12.9936,6.0002,94.0145,25.9839,0.0053,12.9571,5.9998,35.9225,35.9003,NG
262,2021-10-26 8:50,2021-10-26,48.6115,0.0035,0.0052,0.0044,59.5802,200.8999,74.1425,231.9792,12.691,-20.4047,12.5754,-20.465,12.5401,93.9589,0,0.0903,199.0716,199.0648,12.6165,-33.4855,0.0745,13.0808,5.9966,94.0277,25.9761,0.0056,12.9556,5.9966,-59.6238,34.002,0,74.1333,-12.6,-20.3833,14.5234,0,-20.3657,93.9875,14.5321,0,0.03,-12.5776,-33.3794,0.0225,12.996,5.9977,94.0223,26.0024,0.0123,12.9887,5.9969,36.0807,36.0638,NG
262,2021-10-26 9:10,2021-10-26,48.6094,0.0045,0.0013,0.005,59.591,200.9144,74.1528,231.996,12.6507,-20.4624,12.5685,-20.4552,12.5362,93.9391,0,0.0292,199.0936,199.0781,12.6054,-33.5109,0.0452,13.0485,5.9966,94.0249,25.9898,0.0406,12.9342,5.9955,-59.6227,34.0049,0,74.1369,-12.6019,-20.371,14.529,0,-20.3257,94.032,14.531,0,0.0048,-12.5978,-33.3542,0.004,12.9832,5.9948,94.014,26.0041,0.022,12.9756,5.9954,36.086,36.0613,NG
262,2021-10-26 9:13,2021-10-26,48.6088,0.003,0.0053,0.0045,59.663,200.9367,74.1325,232.0218,12.6778,-20.381,12.5746,-20.5078,12.5404,93.9027,0,0.0338,199.1246,199.1625,12.6103,-33.4466,0.0675,13.0656,5.9945,94.0134,26.0346,0.0432,13.0959,5.9957,-59.593,34.0204,0,74.1269,-12.6171,-20.384,14.5268,0,-20.3458,93.9646,14.5257,0,0.0064,-12.6069,-33.3721,0.0102,12.9881,5.9964,94.0167,26.0113,0.0419,12.985,5.9932,36.1179,36.0966,NG
262,2021-10-26 9:21,2021-10-26,48.6103,0.0032,0.0022,0.0032,59.558,200.7624,74.1301,231.8204,12.5814,-20.4623,12.5796,-20.5505,12.5523,93.9476,0,0.0028,199.0883,199.1276,12.59,-33.3828,0.0087,12.9205,5.9952,94.0307,25.9708,0.0918,13.1385,5.9962,-59.6193,34.0258,0,74.1372,-12.6233,-20.0357,14.18,0,-20.3478,93.9973,14.5255,0,0.0027,-12.6108,-33.0931,0.0125,13.0574,5.708,94.0085,25.7122,0.0013,12.9668,5.9889,36.0513,36.0331,NG
262,2021-10-26 10:12,2021-10-26,48.6134,0.004,0.0039,0.0051,59.6468,200.901,74.1436,231.9805,12.6557,-20.1435,12.2895,-20.5088,12.5459,93.9253,0,0.0285,199.1228,199.1601,12.6126,-33.3467,0.0431,13.2032,5.8758,94.0112,25.9327,0.0428,13.0948,5.992,-59.5814,34.0488,0,74.1409,-12.6109,-20.379,14.5229,0,-20.3298,93.9937,14.5191,0,0.0263,-12.6011,-33.3679,0.0098,12.989,5.9898,94.0255,26.0016,0.0221,12.9634,5.991,36.0691,36.0494,NG
262,2021-10-26 10:15,2021-10-26,48.614,0.0025,0.0061,0.0031,59.5834,200.8776,74.15,231.9535,12.6079,-20.4093,12.566,-20.4494,12.5358,93.9951,0,0.0221,199.092,199.1022,12.6043,-33.3789,0.0036,12.9696,5.9906,94.0219,25.9631,0.0231,13.0337,5.9902,-59.6226,34.0329,0,74.1551,-12.6355,-20.3747,14.519,0,-20.3514,93.9518,14.5262,0,0.0111,-12.6038,-33.3657,0.0318,12.991,5.9892,94.0191,26.0052,0.0355,12.9908,5.9884,35.7271,35.708,NG
262,2021-10-26 10:19,2021-10-26,48.613,0.0043,0.0044,0.005,59.5743,200.9098,74.1601,231.9907,12.657,-20.3802,12.5749,-20.4838,12.535,93.9956,0,0.0805,199.0678,199.0604,12.6258,-33.4822,0.0312,13.102,5.988,94.0164,25.9609,0.0104,12.9625,5.9853,-59.6209,34.0207,0,74.1466,-12.5925,-20.3878,14.524,0,-20.3667,93.9933,14.5208,0,0.0318,-12.5792,-33.3824,0.0132,12.9946,5.9892,94.0211,26.0029,0.0146,12.9872,5.9885,36.0287,36.0137,NG
262,2021-10-26 10:23,2021-10-26,48.6108,0.0113,0.007,0.0113,59.5724,200.8972,74.1618,231.9762,12.6608,-20.4477,12.5655,-20.503,12.53,93.9379,0,0.0574,199.1193,199.1032,12.6016,-33.5149,0.0593,13.0672,5.9875,94.0239,25.9954,0.0267,12.9835,5.9857,-59.6124,34.0181,0,74.1436,-12.5831,-20.3703,14.5249,0,-20.306,93.9967,14.5226,0,0.031,-12.5858,-33.3548,0.0027,12.9845,5.988,94.0257,26.0047,0.0318,12.9559,5.9889,36.0403,36.0126,NG
262,2021-10-26 10:35,2021-10-26,48.6152,0.0042,0.0051,0.0042,59.6478,200.9006,74.1424,231.98,12.6537,-20.4092,12.5702,-20.5059,12.5453,93.926,0,0.0311,199.122,199.1602,12.6131,-33.4466,0.0407,13.0374,5.9873,94.0111,26.0369,0.0444,13.0962,5.9898,-59.5969,34.0324,0,74.1389,-12.6263,-20.3795,14.5272,0,-20.3299,93.9935,14.5203,0,0.0262,-12.6167,-33.3675,0.0096,12.9879,5.9935,94.0246,26.0054,0.0215,12.9678,5.9897,36.0641,36.0435,NG
262,2021-10-26 14:23,2021-10-26,48.6124,0.0023,0.0023,0.0024,59.5716,200.906,74.1884,231.9863,12.6516,-20.4166,12.5655,-20.4435,12.5272,93.9478,0,0.0538,199.1061,199.1117,12.6084,-33.4967,0.0431,13.0801,5.9925,94.0165,26.0054,0.0256,12.9521,5.9925,-59.6069,34.0008,0,74.176,-12.5952,-20.3454,14.5164,0,-20.3363,94.0107,14.5169,0,0.0064,-12.5832,-33.3672,0.012,13.0218,5.991,94.0316,26.0007,0.0089,12.9698,5.9936,36.0339,36.0054,NG
262,2021-10-26 14:37,2021-10-26,48.6128,0.0019,0.002,0.0023,59.5709,200.9038,74.1851,231.9837,12.6506,-20.4156,12.5659,-20.4425,12.5272,93.9472,0,0.0533,199.1043,199.1115,12.6038,-33.4965,0.0468,13.081,5.9876,94.0139,26.0032,0.0199,12.9491,5.9897,-59.606,33.9971,0,74.173,-12.596,-20.3524,14.5164,0,-20.339,94.0135,14.5148,0,0.0033,-12.5836,-33.3719,0.0123,13.0195,5.9919,94.0333,26.0054,0.0074,12.9725,5.9927,36.034,36.0051,NG
