fanuc_doosan_id,process_no,product_id,dt_start,dt_end,dt_change_tool,dt_workday
58,20,5,2021-09-01 14:45,2021-09-01 14:49,0000-00-00 00:00:00,2021-09-01
59,50,5,2021-09-01 14:44,2021-09-01 14:51,0000-00-00 00:00:00,2021-09-01
60,30,5,2021-09-01 14:46,2021-09-01 14:51,0000-00-00 00:00:00,2021-09-01
61,90,5,2021-09-01 14:48,2021-09-01 14:52,0000-00-00 00:00:00,2021-09-01
62,20,5,2021-09-01 14:49,2021-09-01 14:55,0000-00-00 00:00:00,2021-09-01
63,30,5,2021-09-01 14:51,2021-09-01 14:56,0000-00-00 00:00:00,2021-09-01
64,90,5,2021-09-01 14:52,2021-09-01 14:57,0000-00-00 00:00:00,2021-09-01
65,50,5,2021-09-01 14:53,2021-09-01 14:58,0000-00-00 00:00:00,2021-09-01
66,20,5,2021-09-01 14:55,2021-09-01 14:59,0000-00-00 00:00:00,2021-09-01
67,40,5,2021-09-01 14:49,2021-09-01 15:00,0000-00-00 00:00:00,2021-09-01
68,50,5,2021-09-01 14:58,2021-09-01 15:03,0000-00-00 00:00:00,2021-09-01
69,30,5,2021-09-01 14:58,2021-09-01 15:03,0000-00-00 00:00:00,2021-09-01
70,20,5,2021-09-01 14:59,2021-09-01 15:06,0000-00-00 00:00:00,2021-09-01
71,40,5,2021-09-01 15:00,2021-09-01 15:06,0000-00-00 00:00:00,2021-09-01
72,30,5,2021-09-01 15:03,2021-09-01 15:08,0000-00-00 00:00:00,2021-09-01
73,50,5,2021-09-01 15:03,2021-09-01 15:09,0000-00-00 00:00:00,2021-09-01
74,40,5,2021-09-01 15:06,2021-09-01 15:10,0000-00-00 00:00:00,2021-09-01
75,20,5,2021-09-01 15:06,2021-09-01 15:12,0000-00-00 00:00:00,2021-09-01
76,30,5,2021-09-01 15:08,2021-09-01 15:13,0000-00-00 00:00:00,2021-09-01
77,50,5,2021-09-01 15:09,2021-09-01 15:13,0000-00-00 00:00:00,2021-09-01
78,40,5,2021-09-01 15:10,2021-09-01 15:17,0000-00-00 00:00:00,2021-09-01
79,30,5,2021-09-01 15:13,2021-09-01 15:18,0000-00-00 00:00:00,2021-09-01
80,20,5,2021-09-01 15:12,2021-09-01 15:18,0000-00-00 00:00:00,2021-09-01
81,50,5,2021-09-01 15:13,2021-09-01 15:22,0000-00-00 00:00:00,2021-09-01
82,20,5,2021-09-01 15:18,2021-09-01 15:22,0000-00-00 00:00:00,2021-09-01
83,90,5,2021-09-01 15:18,2021-09-01 15:22,0000-00-00 00:00:00,2021-09-01
84,30,5,2021-09-01 15:18,2021-09-01 15:23,0000-00-00 00:00:00,2021-09-01
85,40,5,2021-09-01 15:17,2021-09-01 15:23,0000-00-00 00:00:00,2021-09-01
86,20,5,2021-09-01 15:22,2021-09-01 15:27,0000-00-00 00:00:00,2021-09-01
87,90,5,2021-09-01 15:22,2021-09-01 15:27,0000-00-00 00:00:00,2021-09-01
88,30,5,2021-09-01 15:23,2021-09-01 15:28,0000-00-00 00:00:00,2021-09-01
89,40,5,2021-09-01 15:23,2021-09-01 15:28,0000-00-00 00:00:00,2021-09-01
90,90,5,2021-09-01 15:27,2021-09-01 15:32,0000-00-00 00:00:00,2021-09-01
91,30,5,2021-09-01 15:28,2021-09-01 15:32,0000-00-00 00:00:00,2021-09-01
92,90,5,2021-09-01 15:32,2021-09-01 15:37,0000-00-00 00:00:00,2021-09-01
93,30,5,2021-09-01 15:32,2021-09-01 15:37,0000-00-00 00:00:00,2021-09-01
94,50,5,2021-09-01 15:33,2021-09-01 15:38,0000-00-00 00:00:00,2021-09-01
95,90,5,2021-09-01 15:37,2021-09-01 15:41,0000-00-00 00:00:00,2021-09-01
96,50,5,2021-09-01 15:38,2021-09-01 15:42,0000-00-00 00:00:00,2021-09-01
97,40,5,2021-09-01 15:28,2021-09-01 15:43,0000-00-00 00:00:00,2021-09-01
98,90,5,2021-09-01 15:41,2021-09-01 15:46,0000-00-00 00:00:00,2021-09-01
99,50,5,2021-09-01 15:42,2021-09-01 15:47,0000-00-00 00:00:00,2021-09-01
100,90,5,2021-09-01 15:46,2021-09-01 15:51,0000-00-00 00:00:00,2021-09-01
101,90,5,2021-09-01 15:51,2021-09-01 15:56,0000-00-00 00:00:00,2021-09-01
102,90,5,2021-09-01 15:56,2021-09-01 16:00,0000-00-00 00:00:00,2021-09-01
103,40,5,2021-09-01 15:43,2021-09-01 16:04,0000-00-00 00:00:00,2021-09-01
104,90,5,2021-09-01 16:01,2021-09-01 16:05,0000-00-00 00:00:00,2021-09-01
105,20,5,2021-09-01 15:27,2021-09-01 16:08,0000-00-00 00:00:00,2021-09-01
106,90,5,2021-09-01 16:05,2021-09-01 16:10,0000-00-00 00:00:00,2021-09-01
107,50,5,2021-09-01 15:47,2021-09-01 16:12,0000-00-00 00:00:00,2021-09-01
108,40,5,2021-09-01 16:04,2021-09-01 16:14,0000-00-00 00:00:00,2021-09-01
109,90,5,2021-09-01 16:10,2021-09-01 16:15,0000-00-00 00:00:00,2021-09-01
110,20,5,2021-09-01 16:08,2021-09-01 16:17,0000-00-00 00:00:00,2021-09-01
111,50,5,2021-09-01 16:12,2021-09-01 16:17,0000-00-00 00:00:00,2021-09-01
112,30,5,2021-09-01 15:37,2021-09-01 16:18,0000-00-00 00:00:00,2021-09-01
113,20,5,2021-09-01 16:17,2021-09-01 16:21,0000-00-00 00:00:00,2021-09-01
114,30,5,2021-09-01 16:18,2021-09-01 16:23,0000-00-00 00:00:00,2021-09-01
115,90,5,2021-09-01 16:20,2021-09-01 16:24,0000-00-00 00:00:00,2021-09-01
116,20,5,2021-09-01 16:21,2021-09-01 16:25,0000-00-00 00:00:00,2021-09-01
117,40,5,2021-09-01 16:24,2021-09-01 16:28,0000-00-00 00:00:00,2021-09-01
118,30,5,2021-09-01 16:23,2021-09-01 16:28,0000-00-00 00:00:00,2021-09-01
119,50,5,2021-09-01 16:17,2021-09-01 16:30,0000-00-00 00:00:00,2021-09-01
120,20,5,2021-09-01 16:25,2021-09-01 16:33,0000-00-00 00:00:00,2021-09-01
121,40,5,2021-09-01 16:29,2021-09-01 16:33,0000-00-00 00:00:00,2021-09-01
122,30,5,2021-09-01 16:28,2021-09-01 16:33,0000-00-00 00:00:00,2021-09-01
123,50,5,2021-09-01 16:30,2021-09-01 16:36,0000-00-00 00:00:00,2021-09-01
124,40,5,2021-09-01 16:33,2021-09-01 16:37,0000-00-00 00:00:00,2021-09-01
125,20,5,2021-09-01 16:33,2021-09-01 16:37,0000-00-00 00:00:00,2021-09-01
126,90,5,2021-09-01 16:34,2021-09-01 16:39,0000-00-00 00:00:00,2021-09-01
127,30,5,2021-09-01 16:33,2021-09-01 16:39,0000-00-00 00:00:00,2021-09-01
128,50,5,2021-09-01 16:36,2021-09-01 16:40,0000-00-00 00:00:00,2021-09-01
129,20,5,2021-09-01 16:37,2021-09-01 16:41,0000-00-00 00:00:00,2021-09-01
130,90,5,2021-09-01 16:39,2021-09-01 16:43,0000-00-00 00:00:00,2021-09-01
131,30,5,2021-09-01 16:39,2021-09-01 16:44,0000-00-00 00:00:00,2021-09-01
132,40,5,2021-09-01 16:42,2021-09-01 16:46,0000-00-00 00:00:00,2021-09-01
133,20,5,2021-09-01 16:41,2021-09-01 16:46,0000-00-00 00:00:00,2021-09-01
134,90,5,2021-09-01 16:43,2021-09-01 16:48,0000-00-00 00:00:00,2021-09-01
135,50,5,2021-09-01 16:40,2021-09-01 16:48,0000-00-00 00:00:00,2021-09-01
136,40,5,2021-09-01 16:46,2021-09-01 16:53,0000-00-00 00:00:00,2021-09-01
137,90,5,2021-09-01 16:48,2021-09-01 16:53,0000-00-00 00:00:00,2021-09-01
138,30,5,2021-09-01 16:44,2021-09-01 16:54,0000-00-00 00:00:00,2021-09-01
139,20,5,2021-09-01 16:46,2021-09-01 16:55,0000-00-00 00:00:00,2021-09-01
140,50,5,2021-09-01 16:48,2021-09-01 16:55,0000-00-00 00:00:00,2021-09-01
141,40,5,2021-09-01 16:53,2021-09-01 16:57,0000-00-00 00:00:00,2021-09-01
142,90,5,2021-09-01 16:53,2021-09-01 16:57,0000-00-00 00:00:00,2021-09-01
143,50,5,2021-09-01 16:55,2021-09-01 16:59,0000-00-00 00:00:00,2021-09-01
144,40,5,2021-09-01 16:57,2021-09-01 17:01,0000-00-00 00:00:00,2021-09-01
145,30,5,2021-09-01 16:56,2021-09-01 17:01,0000-00-00 00:00:00,2021-09-01
146,20,5,2021-09-01 16:55,2021-09-01 17:02,0000-00-00 00:00:00,2021-09-01
147,90,5,2021-09-01 16:57,2021-09-01 17:02,0000-00-00 00:00:00,2021-09-01
148,50,5,2021-09-01 16:59,2021-09-01 17:04,0000-00-00 00:00:00,2021-09-01
149,40,5,2021-09-01 17:01,2021-09-01 17:05,0000-00-00 00:00:00,2021-09-01
150,20,5,2021-09-01 17:02,2021-09-01 17:06,0000-00-00 00:00:00,2021-09-01
151,30,5,2021-09-01 17:01,2021-09-01 17:06,0000-00-00 00:00:00,2021-09-01
152,50,5,2021-09-01 17:04,2021-09-01 17:08,0000-00-00 00:00:00,2021-09-01
153,40,5,2021-09-01 17:05,2021-09-01 17:09,0000-00-00 00:00:00,2021-09-01
154,20,5,2021-09-01 17:06,2021-09-01 17:10,0000-00-00 00:00:00,2021-09-01
155,30,5,2021-09-01 17:06,2021-09-01 17:11,0000-00-00 00:00:00,2021-09-01
156,50,5,2021-09-01 17:08,2021-09-01 17:12,0000-00-00 00:00:00,2021-09-01
157,40,5,2021-09-01 17:09,2021-09-01 17:13,0000-00-00 00:00:00,2021-09-01
158,20,5,2021-09-01 17:10,2021-09-01 17:15,0000-00-00 00:00:00,2021-09-01
159,30,5,2021-09-01 17:11,2021-09-01 17:16,0000-00-00 00:00:00,2021-09-01
160,50,5,2021-09-01 17:12,2021-09-01 17:16,0000-00-00 00:00:00,2021-09-01
161,40,5,2021-09-01 17:14,2021-09-01 17:19,0000-00-00 00:00:00,2021-09-01
162,20,5,2021-09-01 17:15,2021-09-01 17:20,0000-00-00 00:00:00,2021-09-01
163,30,5,2021-09-01 17:16,2021-09-01 17:21,0000-00-00 00:00:00,2021-09-01
164,50,5,2021-09-01 17:16,2021-09-01 17:22,0000-00-00 00:00:00,2021-09-01
165,40,5,2021-09-01 17:19,2021-09-01 17:23,0000-00-00 00:00:00,2021-09-01
166,20,5,2021-09-01 17:20,2021-09-01 17:25,0000-00-00 00:00:00,2021-09-01
167,30,5,2021-09-01 17:21,2021-09-01 17:26,0000-00-00 00:00:00,2021-09-01
168,50,5,2021-09-01 17:22,2021-09-01 17:26,0000-00-00 00:00:00,2021-09-01
169,40,5,2021-09-01 17:23,2021-09-01 17:28,0000-00-00 00:00:00,2021-09-01
170,20,5,2021-09-01 17:25,2021-09-01 17:31,0000-00-00 00:00:00,2021-09-01
171,30,5,2021-09-01 17:26,2021-09-01 17:31,0000-00-00 00:00:00,2021-09-01
172,50,5,2021-09-01 17:26,2021-09-01 17:32,0000-00-00 00:00:00,2021-09-01
173,40,5,2021-09-01 17:28,2021-09-01 17:34,0000-00-00 00:00:00,2021-09-01
174,90,5,2021-09-01 17:29,2021-09-01 17:35,0000-00-00 00:00:00,2021-09-01
175,30,5,2021-09-01 17:31,2021-09-01 17:36,0000-00-00 00:00:00,2021-09-01
176,50,5,2021-09-01 17:32,2021-09-01 17:37,0000-00-00 00:00:00,2021-09-01
177,90,5,2021-09-01 17:35,2021-09-01 17:39,0000-00-00 00:00:00,2021-09-01
178,90,5,2021-09-01 17:47,2021-09-01 17:52,0000-00-00 00:00:00,2021-09-01
179,40,5,2021-09-01 17:34,2021-09-01 17:56,0000-00-00 00:00:00,2021-09-01
180,90,5,2021-09-01 17:52,2021-09-01 17:57,0000-00-00 00:00:00,2021-09-01
181,90,5,2021-09-01 17:57,2021-09-01 18:01,0000-00-00 00:00:00,2021-09-01
182,50,5,2021-09-01 17:37,2021-09-01 18:02,0000-00-00 00:00:00,2021-09-01
183,90,5,2021-09-01 18:01,2021-09-01 18:06,0000-00-00 00:00:00,2021-09-01
184,30,5,2021-09-01 18:02,2021-09-01 18:07,0000-00-00 00:00:00,2021-09-01
185,20,5,2021-09-01 17:31,2021-09-01 18:07,0000-00-00 00:00:00,2021-09-01
186,50,5,2021-09-01 18:05,2021-09-01 18:08,0000-00-00 00:00:00,2021-09-01
187,90,5,2021-09-01 18:06,2021-09-01 18:11,0000-00-00 00:00:00,2021-09-01
188,90,5,2021-09-01 18:12,2021-09-01 18:16,0000-00-00 00:00:00,2021-09-01
189,50,5,2021-09-01 18:11,2021-09-01 18:18,0000-00-00 00:00:00,2021-09-01
190,20,5,2021-09-01 18:07,2021-09-01 18:20,0000-00-00 00:00:00,2021-09-01
191,40,5,2021-09-01 17:56,2021-09-01 18:20,0000-00-00 00:00:00,2021-09-01
192,90,5,2021-09-01 18:16,2021-09-01 18:21,0000-00-00 00:00:00,2021-09-01
